UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
234076,University of Virginia-Main Campus,Charlottesville,VA,22903-2628,0.2735,16207.0,16853.0,
234085,Virginia Military Institute,Lexington,VA,24450-0304,0.5314,1722.0,18214.0,
234119,Virginia School of Hair Design,Hampton,VA,23669,,21.0,,
234137,Virginia University of Lynchburg,Lynchburg,VA,24501,,271.0,9800.0,
234155,Virginia State University,Petersburg,VA,23806,0.9111,4265.0,8726.0,
234164,Virginia Union University,Richmond,VA,23220,0.4392,1211.0,17448.0,
234173,Virginia Wesleyan University,Virginia Beach,VA,23455,0.6988,1369.0,36660.0,
234207,Washington and Lee University,Lexington,VA,24450-2116,0.22,1819.0,50170.0,
234359,Wilson Workforce and Rehabilitation Center,Fishersville,VA,22939-1500,1.0,138.0,,
234377,Wytheville Community College,Wytheville,VA,24382-3308,,1489.0,4613.0,
248934,ECPI University,Virginia Beach,VA,23462,0.7129,11512.0,15051.0,
366793,Baptist Theological Seminary at Richmond,Henrico,VA,23228,,,,
377449,Centura College-Newport News,Newport News,VA,23608,,179.0,15887.0,
377458,Centura College-Norfolk,Norfolk,VA,23518-4833,,193.0,16337.0,
377485,Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA,23456-2499,,26.0,,
382957,Fortis College-Richmond,Richmond,VA,23230,,404.0,14359.0,
406495,Graham Webb International Academy of Hair,Arlington,VA,22209-2131,,71.0,,
419457,Argosy University-Northern Virginia,Arlington,VA,22209,,48.0,13438.0,
420024,Centura College-Chesapeake,Chesapeake,VA,23320,,190.0,16637.0,
427894,CET-Alexandria,Alexandria,VA,22312,,114.0,,
427973,Aviation Institute of Maintenance-Chesapeake,Chesapeake,VA,23320,,183.0,16757.0,
427982,Centura College-Richmond Main,Richmond,VA,23235-5250,,98.0,16337.0,
430254,Cortiva Institute-Virginia,Charlottesville,VA,22901,,60.0,,
430306,Cayce/Reilly School of Massage,Virginia Beach,VA,23451,,28.0,,
431266,Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA,23294,0.5962,93.0,,
432348,Appalachian School of Law,Grundy,VA,24614-2825,,,,
437097,University of Management and Technology,Arlington,VA,22209-1609,,840.0,9450.0,
437769,Chester Career College,CHESTER,VA,23836,,181.0,,
438498,Stratford University,Fairfax,VA,22030,,1890.0,15135.0,
438647,Altierus Career College-Chesapeake,Chesapeake,VA,23320-2639,,175.0,10407.0,
440341,The Art Institute of Washington,Arlington,VA,22209-1802,,498.0,17590.0,
441858,Eastern Virginia Career College,Fredericksburg,VA,22408,,185.0,,
441876,Rudy & Kelly Academy-A Paul Mitchell Partner School,Virginia Beach,VA,23464,,210.0,,
442639,University of the Potomac-VA Campus,FALLS CHURCH,VA,22043-2536,,37.0,13884.0,
442806,Edward Via College of Osteopathic Medicine,Blacksburg,VA,24060,,,,
444282,Empire Beauty School-Midlothian,Midlothian,VA,23112,,65.0,,
445762,Aviation Institute of Maintenance-Manassas,Manassas,VA,20109,,203.0,16757.0,
445869,Divine Mercy University,Sterling,VA,20166,,,,
446206,Culpeper Cosmetology Training Center,Culpeper,VA,22701-1055,,53.0,,
448257,Avi Career Training,Great Falls,VA,22066,,6.0,,
449834,Virginia Beach Theological Seminary,Virginia Beach,VA,23464-6847,,1.0,8210.0,
449922,Appalachian College of Pharmacy,Oakwood,VA,24631,,,,
449931,Averett University-Non-Traditional Programs,Danville,VA,24541,0.56,344.0,10800.0,
449995,Paul Mitchell the School-Tysons Corner,McLean,VA,22102,,209.0,,
450599,Empire Beauty School-Richmond,Richmond,VA,23294,,72.0,,
451617,Dominion School of Hair Design,Gloucester Point,VA,23062,,17.0,,
455983,Columbia College,Vienna,VA,22182,,347.0,,
458113,Bethel College,Hampton,VA,23666,,39.0,8100.0,
458122,Institute of Advanced Medical Esthetics,Ashland,VA,23005-2111,,18.0,,
458496,The Art Institute of Virginia Beach,Virginia Beach,VA,23462,,370.0,17590.0,
459082,Virginia Polytechnic Institute & State University,Roanoke,VA,24016-4950,,,,
459107,Bryant & Stratton College-Hampton,Hampton,VA,23666,,302.0,17223.0,
459259,South University-Richmond,Glen Allen,VA,23060,,504.0,17014.0,
459268,South University-Virginia Beach,Virginia Beach,VA,23452,,452.0,17014.0,
460376,Fairfax University of America,Fairfax,VA,22030-0000,0.2353,67.0,9608.0,
460871,Chamberlain University-Virginia,Arlington,VA,22202,0.3333,501.0,19375.0,
460923,Virginia College-Richmond,Richmond,VA,23225-5502,,440.0,,
461412,Northern Virginia School of Therapeutic Massage,Falls Church,VA,22042-4302,,129.0,,
461449,Cosmopolitan Beauty and Tech School,Annandale,VA,22003-3204,,115.0,,
475194,Miller-Motte Technical College-Roanoke,Roanoke,VA,24018,,74.0,10660.0,
476179,Empire Beauty School-Virginia Beach,Virginia Beach,VA,23462-6779,,146.0,,
476568,Tomorrow's Image Barber And Beauty Academy of Virginia,Newport News,VA,23608-5532,,15.0,,
479248,Columbia College,Centreville,VA,20121,,151.0,,
480329,Altierus Career College-Woodbridge,Woodbridge,VA,22192-6808,,224.0,,
480930,Paul Mitchell the School-Woodbridge,Woodbridge,VA,22192,,126.0,,
481526,The Chrysm Insitute of Esthetics,Virginia Beach,VA,23462-2980,,126.0,,
482653,DeVry University-Virginia,Arlington,VA,22202,0.7,227.0,17572.0,
483726,Luckes Beauty Academy LLC,Newport  News,VA,23601-1303,,32.0,,
483780,IGlobal University,Vienna,VA,22182-2734,,64.0,13820.0,
483805,National Personal Training Institute,Vienna,VA,22182-2412,,57.0,,
483814,Standard Healthcare Services-College of Nursing,Falls Church,VA,22043,0.4653,351.0,,
484765,University of Phoenix-Virginia,Virginia Beach,VA,23462,,191.0,9840.0,
484923,Dermal Science International Aesthetics and Nail Academy,Reston,VA,20190,,75.0,,
486424,Saint Michael College of Allied Health,Alexandria,VA,22309-2348,,45.0,16300.0,
486594,Wave Leadership College,Virginia Beach,VA,23454-2140,,52.0,7320.0,
490106,Virginia University of Integrative Medicine,Fairfax,VA,22031-5310,,,,
490443,The Esthetic Institute,Vienna,VA,22182-3818,,147.0,,
11710401,Life Pacific University-Virginia,Christiansburg,VA,24073,,,7228.0,
16165101,Aesthetics Institute of Cosmetology - Winchester,Winchester,VA,226015914,,,,
23368401,Strayer University-Alexandria Campus,Alexandria,VA,22314,,,13857.0,
23368402,Strayer University-Woodbridge Campus,Woodbridge,VA,22192,,,13857.0,
23368403,Strayer University-Manassas Campus,Manassas,VA,20109,,,13857.0,
23368404,Strayer University-Loudoun Campus,Ashburn,VA,20147,,,13857.0,
23368405,Strayer University-Fredericksburg Campus,Fredericksburg,VA,22406,,,13857.0,
23368407,Strayer University-Henrico Campus,Glen Allen,VA,23059,,,13857.0,
23368408,Strayer University-Chesterfield Campus,Midlothian,VA,23113,,,13857.0,
23368409,Strayer University-Chesapeake Campus,Chesapeake,VA,23320,,,13857.0,
23368410,Strayer University-Newport News Campus,Newport News,VA,23602,,,13857.0,
23368411,Strayer University-Virginia Beach Campus,Virginia Beach,VA,23462,,,13857.0,
24893401,ECPI University-Newport News,Newport News,VA,23606,,,14941.0,
24893405,ECPI University-Manassas,Manassas,VA,201091603,,,15246.0,
24893410,ECPI University-Culinary Institute of Virginia,Norfolk,VA,235131603,,,15108.0,
24893411,ECPI University-Virginia Beach Health Sciences,Virginia Beach,VA,234621603,,,15261.0,
24893412,ECPI University-Richmond South,Richmond,VA,232361603,,,14985.0,
24893413,ECPI University-Innsbrook,Glen Allen,VA,230601603,,,15263.0,
24893414,ECPI University-Richmond West,Richmond,VA,232941603,,,16039.0,
24893415,ECPI University - Roanoke,Roanoke,VA,240121603,,,15525.0,
210474,Jolie Hair and Beauty Academy-Hazleton,Hazleton,PA,18201,,61.0,,
210492,Bryn Athyn College of the New Church,Bryn Athyn,PA,19009-0711,0.8755,323.0,21126.0,
210508,Academy of Vocal Arts,Philadelphia,PA,19103-6685,,,,
210571,Albright College,Reading,PA,19612-5234,0.5004,1999.0,43454.0,
210599,All-State Career School,Essington,PA,19029,,306.0,,
210605,Community College of Allegheny County,Pittsburgh,PA,15233-1895,,14804.0,4198.0,
210669,Allegheny College,Meadville,PA,16335-3902,0.6789,1764.0,45970.0,
210711,The  Beauty Institute,Allentown,PA,18109-1629,,28.0,,
210739,DeSales University,Center Valley,PA,18034-9568,0.7379,2291.0,35900.0,
210748,Altoona Beauty School Inc,Altoona,PA,16602-6039,,53.0,,
210775,Alvernia University,Reading,PA,19607-1799,0.7081,2231.0,33640.0,
210784,The Beauty Institute-Ambler,Ambler,PA,19002,,115.0,,
210809,American College of Financial Services,King of Prussia,PA,19406,,8354.0,,
210890,Antonelli Institute,Erdenheim,PA,19038-8242,,71.0,19890.0,
210942,The Art Institute of Philadelphia,Philadelphia,PA,19103-5198,,842.0,17914.0,
210951,Career Training Academy-Lower Burrell,Lower Burrell,PA,15068,,130.0,,
210960,The Art Institute of Pittsburgh,Pittsburgh,PA,15222,,431.0,17626.0,
211006,Automotive Training Center-Exton,Exton,PA,19341-1310,,304.0,,
211024,Clarks Summit University,South Abington Township,PA,18411-1250,0.5508,498.0,23890.0,
211079,Community College of Beaver County,Monaca,PA,15061-2588,,1768.0,5880.0,
211088,Arcadia University,Glenside,PA,19038-3295,0.6229,2233.0,42330.0,
211130,Missio Theological Seminary,Philadelphia,PA,19123,,,,
211149,Bidwell Training Center Inc,Pittsburgh,PA,15233,0.8529,141.0,,
211158,Bloomsburg University of Pennsylvania,Bloomsburg,PA,17815,0.7325,8276.0,10500.0,
211200,Bradford School,Pittsburgh,PA,15219,0.9054,352.0,15380.0,
211273,Bryn Mawr College,Bryn Mawr,PA,19010,0.3801,1328.0,50500.0,
211291,Bucknell University,Lewisburg,PA,17837,0.3108,3588.0,53986.0,
211307,Bucks County Community College,Newtown,PA,18940-4106,,7257.0,4418.0,
211316,Bucks County School of Beauty Culture Inc,Feasterville,PA,19053-7368,,72.0,,
211334,Butler Beauty Academy,Butler,PA,16001,,20.0,,
211343,Butler County Community College,Butler,PA,16002,,2803.0,4800.0,
211352,Cabrini University,Radnor,PA,19087-3698,0.7321,1536.0,31350.0,
211361,California University of Pennsylvania,California,PA,15419-1394,0.961,5435.0,10840.0,
211431,Carlow University,Pittsburgh,PA,15213-3165,0.9164,1339.0,28596.0,
211440,Carnegie Mellon University,Pittsburgh,PA,15213-3890,0.222,6434.0,53910.0,
211468,Cedar Crest College,Allentown,PA,18104-6196,0.6333,1413.0,38092.0,
211477,Central Penn College,Summerdale,PA,17093-0309,0.789,1188.0,18174.0,
211556,Chatham University,Pittsburgh,PA,15232,0.5455,981.0,36510.0,
211583,Chestnut Hill College,Philadelphia,PA,19118-2693,0.9572,1317.0,35180.0,
211608,Cheyney University of Pennsylvania,Cheyney,PA,19319-0200,,722.0,12104.0,
211617,Brightwood Career Institute-Philadelphia Mills,Philadelphia,PA,19154,,586.0,,
211635,Citizens School of Nursing,Tarentum,PA,15084,0.0,158.0,,
211644,Clarion University of Pennsylvania,Clarion,PA,16214,0.9549,4214.0,10890.0,
211802,DLP Conemaugh Memorial Medical Center,Johnstown,PA,15905-4398,0.8913,228.0,,
211820,Consolidated School of Business-York,York,PA,17404,,114.0,,
211893,Curtis Institute of Music,Philadelphia,PA,19103,0.033,131.0,2675.0,
211909,Dean Institute of Technology,Pittsburgh,PA,15226-1197,,151.0,14550.0,
211927,Delaware County Community College,Media,PA,19063-1094,,11030.0,5291.0,
211981,Delaware Valley University,Doylestown,PA,18901-2697,0.664,1908.0,38000.0,
212009,Dickinson College,Carlisle,PA,17013-2896,0.4871,2339.0,52955.0,
212018,Pennsylvania State University-Dickinson Law,Carlisle,PA,17013-2861,,,,
212045,Douglas Education Center,Monessen,PA,15062,,229.0,16029.0,
212054,Drexel University,Philadelphia,PA,19104,0.7904,15335.0,52002.0,
212106,Duquesne University,Pittsburgh,PA,15282,0.717,5930.0,36394.0,
212115,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,0.8356,5972.0,10098.0,
212133,Eastern University,Saint Davids,PA,19087-3696,0.6561,1837.0,32145.0,
212160,Edinboro University of Pennsylvania,Edinboro,PA,16444-0001,0.9253,4229.0,10282.0,
212197,Elizabethtown College,Elizabethtown,PA,17022-2298,0.7402,1647.0,45350.0,
212230,Empire Beauty School-Lebanon,Lebanon,PA,17042,,41.0,,
212267,Empire Beauty School-York,York,PA,17402,,84.0,,
212276,Empire Beauty School-Lancaster,Lancaster,PA,17603,,78.0,,
212294,Empire Beauty School-Shamokin Dam,Shamokin Dam,PA,17876,,46.0,,
212300,Empire Beauty School-Pottsville,Pottsville,PA,17901,,52.0,,
212328,Empire Beauty  School-Lehigh Valley,Whitehall,PA,18052,,103.0,,
212355,Empire Beauty School-Wyoming Valley,Moosic,PA,18507,,141.0,,
212373,Empire Beauty School-Warminster,Warminster,PA,18974,,28.0,,
212382,Empire Beauty School-Harrisburg,Harrisburg,PA,17109,,123.0,,
212391,Empire Beauty School-Reading,Reading,PA,19605,,119.0,,
212434,Erie Institute of Technology Inc,Erie,PA,16565,,295.0,13770.0,
212443,Evangelical Theological Seminary,Myerstown,PA,17067-1222,,,,
212568,Aria Health School of Nursing,Trevose,PA,19053-6939,,200.0,18585.0,
212577,Franklin and Marshall College,Lancaster,PA,17604-3003,0.3411,2269.0,54380.0,
212601,Gannon University,Erie,PA,16541-0001,0.799,2616.0,30932.0,
212656,Geneva College,Beaver Falls,PA,15010-3599,0.6901,1330.0,26070.0,
212674,Gettysburg College,Gettysburg,PA,17325,0.458,2411.0,52640.0,
212753,Empire Beauty School-NE Philadelphia,Philadelphia,PA,19154,,144.0,,
212771,Gratz College,Melrose Park,PA,19027-3010,,47.0,,
212805,Grove City College,Grove City,PA,16127-2104,0.7987,2327.0,17254.0,
212832,Gwynedd Mercy University,Gwynedd Valley,PA,19437-0901,0.9377,1987.0,33600.0,
212869,Harcum College,Bryn Mawr,PA,19010-3470,,1436.0,23670.0,
212878,Harrisburg Area Community College,Harrisburg,PA,17110-2999,,15968.0,6473.0,
212911,Haverford College,Haverford,PA,19041-1392,0.2005,1291.0,52994.0,
212975,Commonwealth Technical Institute,Johnstown,PA,15905-3092,,183.0,16836.0,
212984,Holy Family University,Philadelphia,PA,19114-2009,0.7075,1904.0,30346.0,
212993,Hussian College School of Art,Philadelphia,PA,19130,0.6939,52.0,19650.0,
213002,Brightwood Career Institute-Pittsburgh,Pittsburgh,PA,15222,,250.0,,
213011,Immaculata University,Immaculata,PA,19345,0.8294,1383.0,27350.0,
213020,Indiana University of Pennsylvania-Main Campus,Indiana,PA,15705-1098,0.9082,9965.0,12119.0,
213163,UPMC Jameson School of Nursing,New Castle,PA,16105,,46.0,10781.0,
213181,Great Lakes Institute of Technology,Erie,PA,16509-2482,0.7593,396.0,,
213215,Jolie Hair and Beauty Academy-Wilkes-Barre,Wilkes Barre,PA,18702,,169.0,,
213233,Johnson College,Scranton,PA,18508-1495,0.9644,446.0,18567.0,
213251,Juniata College,Huntingdon,PA,16652-2196,0.7077,1371.0,43875.0,
213303,Keystone College,La Plume,PA,18440-0200,0.944,1274.0,26670.0,
213321,King's College,Wilkes-Barre,PA,18711-0801,0.7092,2065.0,35830.0,
213330,Butler Beauty Academy-Kittanning Beauty Academy,Kittanning,PA,16201,,8.0,,
213349,Kutztown University of Pennsylvania,Kutztown,PA,19530-0730,0.8314,7443.0,9987.0,
213358,La Roche University,Pittsburgh,PA,15237-5898,0.9657,1312.0,27720.0,
213367,La Salle University,Philadelphia,PA,19141-1199,0.7927,3708.0,29500.0,
213376,Lackawanna College,Scranton,PA,18509-3206,,1506.0,15160.0,
213385,Lafayette College,Easton,PA,18042-1768,0.3081,2567.0,51600.0,
213400,Lancaster Bible College,Lancaster,PA,17601-5036,0.7181,1504.0,22580.0,
213446,Lancaster Theological Seminary,Lancaster,PA,17603-2897,,,,
213455,Lancaster School of Cosmetology & Therapeutic Bodywork,Lancaster,PA,17602,,185.0,,
213473,Lansdale School of Business,North Wales,PA,19454-4114,,163.0,10800.0,
213491,Lansdale School of Cosmetology Inc,Lansdale,PA,19446-2003,,53.0,,
213507,Lebanon Valley College,Annville,PA,17003-1400,0.73,1658.0,42180.0,
213525,Lehigh Carbon Community College,Schnecksville,PA,18078-2598,,5588.0,3990.0,
213534,Platt College-Berks Technical Institute,Wyomissing,PA,19610-1168,,724.0,11260.0,
213543,Lehigh University,Bethlehem,PA,18015,0.2515,5057.0,50740.0,
213552,Levittown Beauty Academy,Levittown,PA,19054,,91.0,,
213570,Lincoln Technical Institute-Allentown,Allentown,PA,18104-9889,,444.0,,
213589,Lincoln Technical Institute-Philadelphia,Philadelphia,PA,19136,,246.0,,
213598,Lincoln University,Lincoln University,PA,19352-0999,0.7968,1994.0,11379.0,
213613,Lock Haven University,Lock Haven,PA,17745-2390,0.8904,3425.0,10576.0,
213622,St Margaret School of Nursing,Pittsburgh,PA,15238-3250,0.5714,92.0,15315.0,
213631,United Lutheran Seminary,Gettysburg,PA,17325-1795,,,,
213659,Luzerne County Community College,Nanticoke,PA,18634-3899,,4758.0,5160.0,
213668,Lycoming College,Williamsport,PA,17701-5192,0.6403,1192.0,38618.0,
213774,Manor College,Jenkintown,PA,19046-3399,0.9255,602.0,17029.0,
213783,Mansfield University of Pennsylvania,Mansfield,PA,16933,0.8919,1770.0,12316.0,
213826,Marywood University,Scranton,PA,18509-1598,0.7512,1835.0,33940.0,
213871,McCann School of Business & Technology,Hazle Township,PA,18202,,168.0,11292.0,
213914,Vet Tech Institute,Pittsburgh,PA,15222-3400,,343.0,14980.0,
213932,Roxborough Memorial Hospital School of Nursing,Philadelphia,PA,19128,,142.0,,
213987,Mercyhurst University,Erie,PA,16546,0.6992,2448.0,36320.0,
213996,Messiah College,Mechanicsburg,PA,17055,0.7701,2670.0,34160.0,
214023,The Workforce Institute's City College,Philadelphia,PA,19140-2302,1.0,21.0,12097.0,
214041,Millersville University of Pennsylvania,Millersville,PA,17551-0302,0.7949,6613.0,11858.0,
214069,Misericordia University,Dallas,PA,18612-1098,0.7879,2100.0,31660.0,
214111,Montgomery County Community College,Blue Bell,PA,19422-0796,,8948.0,5730.0,
214148,Moore College of Art and Design,Philadelphia,PA,19103-1179,0.5407,373.0,39833.0,
214157,Moravian College,Bethlehem,PA,18018-6650,0.7597,2007.0,42024.0,
214166,Mount Aloysius College,Cresson,PA,16630-1999,0.9107,1185.0,22430.0,
214175,Muhlenberg College,Allentown,PA,18104,0.4836,2329.0,50830.0,
214254,Brightwood Career Institute-Philadelphia,Philadelphia,PA,19104,,421.0,,
214272,Neumann University,Aston,PA,19014-1298,0.9628,1997.0,30050.0,
214290,New Castle School of Trades,New Castle,PA,16101,1.0,763.0,,
214379,Northampton County Area Community College,Bethlehem,PA,18020-7599,,9203.0,4230.0,
214476,Ohio Valley Hospital School of Nursing,McKees Rocks,PA,15136,0.8,76.0,16300.0,
214528,Orleans Technical College,Philadelphia,PA,19114-1014,0.5728,289.0,,
214564,Salus University,Elkins Park,PA,19027-6262,,,,
214582,Pennsylvania Institute of Technology,Media,PA,19063-4098,,447.0,13230.0,
214591,Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,16563-0001,0.8891,4283.0,15190.0,
214607,Pennsylvania State University-Penn State Great Valley,Malvern,PA,19355-1488,,,,
214616,Pennsylvania State University-College of Medicine,Hershey,PA,17033-2360,,,,
214625,Pennsylvania State University-Penn State New Kensington,New Kensington,PA,15068-1765,0.7676,573.0,13694.0,
214634,Pennsylvania State University-Penn State Shenango,Sharon,PA,16146-1537,0.7428,345.0,13324.0,
214643,Pennsylvania State University-Penn State Wilkes-Barre,Lehman,PA,18627-0217,0.8245,404.0,13568.0,
214652,Pennsylvania State University-Penn State Scranton,Dunmore,PA,18512-1602,0.7792,1003.0,14460.0,
214670,Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,18034-8447,0.8534,823.0,14460.0,
214689,Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,0.9225,3451.0,15190.0,
214698,Pennsylvania State University-Penn State Beaver,Monaca,PA,15061-2764,0.8131,598.0,13694.0,
214704,Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,0.857,2635.0,15190.0,
214713,Pennsylvania State University-Penn State Harrisburg,Middletown,PA,17057-4846,0.8375,4223.0,15190.0,
214731,Pennsylvania State University-Penn State Brandywine,Media,PA,19063-5522,0.8703,1366.0,14460.0,
214740,Pennsylvania State University-Penn State DuBois,DuBois,PA,15801-2549,0.8387,497.0,13632.0,
214759,Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,15456-1025,0.8214,649.0,13632.0,
214768,Pennsylvania State University-Penn State Hazleton,Hazleton,PA,18202-8025,0.9352,699.0,14460.0,
214777,Pennsylvania State University-Main Campus,University Park,PA,16802-1503,0.5031,40553.0,18436.0,
214786,Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,15132-7644,0.8187,488.0,13694.0,
